,premise,hypothesis,label
0,and these comments were considered in formulating the interim rules ,the rules developed in the interim were put together with these comments in mind ,0
1,these are issues that we wrestle with in practice groups of law firms she said ,practice groups are not permitted to work on these issues ,2
2,you know they can t really defend themselves like somebody grown uh say my age you know yeah,they can t defend themselves because of their age ,0
3,from cockpit country to st ann s bay,from st ann s bay to cockpit country ,2
4,look it s your skin but you re going to be in trouble if you don t get busy ,the boss will fire you if he sees you slacking off ,1
5, if you people only knew how fatally easy it is to poison some one by mistake you wouldn t joke about it ,many people have poisoned someone by mistake ,1
6,my own little corner of the world policy wonking is an example ,an example is policy wonking ,0
7,life in prison then he s available for parole if it s if it s life and a day then he s not eligible for parole so what you know let s quit bsing with the system,the system is corrupt because he won t be able to get parole if it s life and a day ,1
8,the streets are crammed with vendors selling shrine offerings of sweets curds and coconut as well as garlands and holy images ,vendors have lined the streets with torches and fires ,2
9,north of mytilini stop at the village of moria where you will find the remains of a huge roman aqueduct surrounded by grazing goats ,there is nothing special to see in the village of moria ,2
10,increased saving by current generations would expand the nation s capital stock allowing future generations to better afford the nation s retirement costs while also enjoying higher standards of living ,current generations increased saving would expand the nation s capital stock allowing future generations to more easily afford the nation s retirement costs while also enjoying higher standards of living ,0
11,it s just the beginning ,a great journey is about to begin ,1
12,britain s best selling tabloid the sun announced as a front page world exclusive friday that texan model jerry hall has started divorce proceedings against aging rock star mick jagger at the high court in london ,the sun makes millions every year off fake news ,1
13,savonarola burned in florence,florence became savonarola s new home ,2
14,it will be colossal ,it will be gigantic ,0
15,he says men are here ,he said that the men were not here ,2
16,yeah uh huh oh yeah petting zoos and things,yes petting and other things ,0
17,the almost midtown massabielle quarter faubourg de massabielle is sometimes described as the most picturesque in the city ,the massabielle quarter is considered the most photogenic ,0
18,4 not enough is known about how nontransportation costs vary with distance ,the ways in which distance affects nontransportation costs is a subject we don t have enough information on ,0
19,i am surprised though that we do have so many that are in politics down here,i am surprised that not many of them are in politics down here ,2
20,the draft treaty was tommy s bait ,the treaty bait was not for tommy ,2
21,therefore the number of boilermakers may actually grow more quickly than what was assumed ,the number of boil makers will decrease drastically as expected ,2
22,as long as assad lives he can manage these troubles and keep an agreement with israel ,as long as assad doesn t die he will be able to take care of the troubles ,0
23,the four javis children asked severn ,severn knows everything about the jarvis children ,1
24,my brain refusing to command properly ,my brain was not commanding properly ,0
25, so your girl writes that your little farewell activity didn t fare so well eh he chortled ,your farewell activity didn t go well ,0
26,you have to walk through it ,you need to pass through it on foot ,0
27,no i exclaimed astonished , no i cried out in shock ,0
28,bauerstein had been at styles on the fatal night and added he said twice that alters everything and i ve been thinking ,styles is responsible for what happened ,1
29,long ago or away or whatever there was a world called thar and another called erath ,erath is the only world that has ever existed ,2
30,then all the time it was in the spill vase in mrs inglethorp s bedroom under our very noses i cried ,so it was hidden in another country impossible for us to locate ,2
31,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i m going to have some landscaping put in,i have never developed a love for gardening ,1
32, she gets a little obsessive about her sauce ,her sauce is so complicated that she s obsessed with perfecting each ingredient ,1
33,rather kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status ,while kids today are symbols of success and status and their parents are too ,1
34,china s civil war sent distressing echoes to hong kong ,japan fought a civil war ,2
35,the seven grants flow from a new nonprofit capacity building program at the foundation part of a trend among philanthropists to give money to help organizations grow stronger rather than to the program services they provide ,the grants flow from a nonprofit capacity building program at the foundation exemplifying a trend among philanthropists to give money to grow organizations and then to take them over ,1
36,or eligibility could be restricted to those who have already been pregnant or at least sexually active to those over age 13 or under age 21 or some combination thereof ,the age of consent is age 21 as well ,1
37,in this respect bringing steve jobs back to save apple is like bringing gen ,steve jobs came back to apple ,0
38,or they had somebody at home that was ill that they had to tend to i mean you can t make it everybody,they did not have anything to do ,2
39,from generation to generation michiko kakutani the new york times a few like pearl k bell in the wall street journal find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality ,they complained that the novel lacked any emotions ,2
40,hey no problem a fine policy ,no worries a good policy ,0
41,the m tro subway is the fastest way to move around the city but the buses both in the capital and the other big towns are best for taking in the sights ,taking the subway is a good way to experience big city life ,2
42,they were so sure of themselves that they took it for granted he had made a mistake ,they simply assumed that he d made a mistake ,0
43,i m on i m in the plano school system and living in richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,there is a huge amount of poor students and very few wealthy ,1
44,okay and and i think we just hang up i don t think we have to do anything else,that s it we just hang up right ,0
45,they capitalized on the natural resources by using the salt to cure fish which they exported to their home country ,they used salt to cure fish and sent it back home ,0
46,news berates computer users for picking obvious easily cracked passwords and chastises system administrators for ignoring basic security precautions ,news outlets do not blame users or system administrators for security breaches ,2
47,to their good fortune he s proving them right ,he is showing that they were correct ,0
48,too bad it chose to use mcintyre instead ,mcintyre was picked to be used as the closing pitcher ,1
49,and the other thing is the cost it s almost prohibitive to bring it to a dealer,it s cheap to bring it to a dealer ,2
50,whole life policies policies that provide insurance over the insured s entire life and the proceeds face amount are paid only upon death of the insured ,a whole life policy is the best choice for someone who expects to live to the age of 90 ,1
51,2466 discusses the four collections which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer readable database ,2466 discusses four collections ,0
52,the women s haven which provides shelter and outreach to domestic violence victims already has a full time attorney ,there is a full time attorney at the women s haven already ,0
53,uh high humidity,air with increased water content ,0
54,we need to look at the implications that these differing roles have for a range of issues such as ses core competencies performance standards recruitment sources mobility and training and development programs ,we can completely ignore the implications of the roles on mobility ,2
55,yeah yeah yeah well because that s the way they they might seem outwardly but boy there s a lots going on in there,there is another layer to the surface ,0
56,in this situation the value to the mailer of the improved service would be considered along with the cost of doing the work ,no consideration will be given to the cost of doing the work in this case ,2
57,is there adequate information for judging generalizability ,output information is way too much generalized ,1
58,the political cleansing that did not happen through the impeachment process leaves clinton with a great and serious burden ,the impeachment process involved clinton s husband as well ,1
59,isn t it i can remember i ve only been here eight years but i can remember coming to work from i used to live in wylie and i could see downtown dallas,i have only been here for two years ,2
60,over most of the 1980s and 1990s the u s was able to invest more than it saved by attracting financing from abroad ,the us could save more than it invested in the 1980 s and 90 s ,2
61,credibility is a vital factor and jim lehrer does indeed have it ,everyone would believe whatever jim lehrer said ,1
62,there should be someone here who knew more of what was going on in this world than he did now ,he knew he was the only person with any idea of what was going on ,2
63,its scorecard included measures for accuracy speed and timeliness unit cost customer satisfaction and employee development and satisfaction ,accuracy and speed are the first measurements listed on the scorecard ,1
64,on the left of the entrance ramp is the open space once occupied by the temple of athena close to which are the remains of the pergamene library ,there are no remains visible from the ramp ,2
65,if you are keen to learn israeli folk dancing the bicurei ha etim cellar in heftman street will teach you ,the bicurei ha etim cellar is the only place to learn israeli folk dancing ,1
66,or sherlock holmes ,was it sherlock holmes ,0
67,though the two cities remained unlinked by rail this was about to change quickly ,the two cities did not have a railway between them ,0
68,tourist information offices can be very helpful ,tourist information offices are never of any help ,2
69,more detailed implementation plans also will be necessary to address business system processes and resource issues ,detailed implementation plans are necessary to address business system processes and resources,0
70,first injected cannabinoids may not mirror the effects of smoked marijuana ,smoking marijuana gets people higher than injected them with cannabinoids ,1
71,the data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the federal government but not in individual reports of its component units ,the data would be included in individual reports concerning the constituent units of the federal government ,2
72,boca da corrida encumeada moderate 5 hours views of curral das freiras and the valley of ribeiro do poco , views of curral da freiras and the valley of ribeiro do poco is chapter 5 ,1
73,interest rate the price charged per unit of money borrowed per year or other unit of time usually expressed as a percentage ,interest rate can range from zero to fifteen percent ,1
74,that s hilarious to to get that jack off that s right oh that s a funny story,i will enjoy telling that story ,1
75,mr erlenborn attended undergraduate courses at the university of notre dame indiana university the university of illinois and loyala university of chicago ,mr erlenborn attended classes in at least four different universities ,0
76,so unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer our clients are simply lost in the legal system if they cannot get access to it from us ,our clients can afford attorneys and bouncing between lawyers ,2
77,finally the woman opened her eyes feebly ,she opened her eyes ,0
78,the finest is the huge conical roofed tomb pillar of absalom king david s son ,the tomb pillar of absalom has a large cone shaped roof ,0
79,unless the mention of the ritz was an accidental remark ,was mentioning the ritz accidental ,0
80,they are the four sentences you always insert in plagiarized papers to throw the professor off track ,these four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information ,1
81,this man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in europe or the middle east ,he claimed he was robbed on the way and has no money or a plane ticket,0
82,it was planned in the 1820s as a symbol of scottish national pride and designed as a mini parthenon in deference to the neoclassical style popular at the time ,it was designed to be a smaller version of the parthenon ,0
83,although claims data provide the most accurate information about health care use ensuring adequate follow up for purposes of obtaining information from patient self report is important because many people do not report alcohol related events to insurance compa nies ,alcohol related events that contribute to disease are often unreported by patients to their insurance companies ,0
84,could you please speak to this issue with regard to the social ramifications of gum chewing in public ,you don t have an opinion on gum chewing in public i see ,2
85,the h 2a worker must depart the country and is subject to deportation for failing to do so ,the h 2a worker committed a crime ,1
86,the researchers found expected stresses like the loss of a check in the mail and the illness of loved ones ,the stresses affected people as the researchers expected ,0
87,you have to walk through it ,you can stay where you are ,2
88,the 28 sta tues representing the kings of judah and israel have been remodeled after the drawings of viollet le duc the original ones were pulled down during the revolution since they were thought to be the kings of france ,the people who pulled down the statues were executed ,1
89,ca daan closed the door behind them and retied the not ,ca daan closed the door as they entered and bound it shut with rope ,0
90,small towns like louisian lay scattered all over the oil fields the main train line branched between them ,a main train line went between all the small towns ,0
91,i think that the people that are um have um a lower income which you automatically equate with lower education,i think higher income equals lower education ,2
92,be of good cheer ,be of good cheer for beer time is near ,1
93,in reviewing this history it s important to make some crucial distinctions ,there s no point in analyzing the past ,2
94,the black river at 71 km 44 miles is the longest in jamaica it was an arterial route used to transport rum and lumber from the inland plantations ,the black river received its name because the water in its stream is actually black ,1
95,in our town of five thousand we have one that is uh local fm am station and their news is fed from cnn too uh it s more of uh,the town radio station never relied on any national news sources ,2
96,there are certain categories of control activities that are common to all agencies ,control activities such as safe business practices are universally common across all agencies ,1
97,more than 100 judges lawyers and dignitaries were present for the gathering ,only two people showed up for the gathering ,2
98,he had forgotten about adrin ,he remembered adrin all this time ,2
99,in other words the paper exhibited the all too typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists ,the paper shows the journalists exposing potential conflicts of interests around politicians but never exposing other journalists ,0
100,the final reason for the teen renaissance is boomer self obsession ,boomer self obsession is one of the reasons for teen renaissance ,0
101,after the death of columbus in 1505 jamaica became the property of his son diego who dispatched don juan de esquivel to the island as governor ,jamaica was inherited by columbus son diego ,0
102,they won t be killing off george clooney s character at er like they did to jimmy smits at nypd instead dr doug ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy thursday 10 p m ,george clooney will lose his job because the producers don t think he can act ,2
103,120 you do not think i ought to go to the police ,should i not go to the police ,0
104,yeah because those things i think would just snap you know,because they would survive easily ,2
105,we have taken a number of steps to empower and invest in our employees ,the steps we have taken put programs for the employees in place ,0
106,in the case of speech fiss appears to believe that the reason the american public is less enlightened than he would wish it to be concerning matters such as feminism the rights of homosexuals and regulation of industry is that people are denied access to the opinions and information that would enlighten them ,people in america are very well informed on controversial topics according to fiss ,2
107,the rustic bras david picnic area for example is set alongside a burbling stream ,the picnic area is not near a stream ,2
108,and uh well if you if you got got him a power mower it d probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a with a pull tractor on it so i don t have to push so hard,he would mow your entire yard in eight minutes if he was using a power mower ,1
109,um hum yeah i saw that for the first time yesterday in the evening,i was very impressed when i saw that yesterday ,1
110,bauerstein ,alfred inglethorp,2
111,what have we for lunch ,what are we going to eat for lunch ,0
112,a poll of hong kong residents finds them sanguine about the city s future ,a poll of hong kong residents finds them more sanguine about the city s future than before ,1
113,well i meant when when you were when you were growing up i mean like galveston,you grew up in galveston and i grew up in dallas ,1
114,i am so constituted as to be unable to give away money with any satisfaction until i have made the most careful inquiry as to the worthiness of the cause ,i have to research a cause carefully before donating money to it ,0
115,you know they they like what they re doing they you know they feel good about what they re doing that type of thing it s more,you can see the way that their whole demeanor has changed ,1
116,can i help you ,i m not helping you at all ,2
117,the traditional opening time for many hotels is the orthodox easter although some do not open until the end of april ,the hotels don t open in halloween ,1
118,medical and surgical expense coverage ,medical and surgical expenses were fully covered,1
119,exactly and when i m sitting here on the sofa cross stitching and all of a sudden somebody a man s got their hand on my door knob it s like uh like oh no and so i don t i don t like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or,a man tried to enter the house so that he could rob it ,1
120,the chinese calendar was used to calculate the year of japan s foundation by counting back the 1 260 years of the chinese cosmological cycle ,japan s foundation was determined by using the chinese calendar ,0
121,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,when you pay 100 a month it take a long time ,2
122,thus the net scale benefit is initially positive whether or not we adjust for the wage premium ,initial net scale benefits are negative when adjusted for the wage premium ,2
123,look here you ve no business to come asking for me in this way ,there s no reason for you to be asking for me like this ,0
124,the experts point out that it is not age alone that determines a chinese antique s value the dynasties of the past had their creative ups and downs ,collectors base the price of their chinese antiques off of their age only ,2
125,small towns like louisian lay scattered all over the oil fields the main train line branched between them ,there was only one town in the oil fields ,2
126,regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and therefore lack of precision which could make enforcement of reporting standards difficult ,difficulty of reporting standards can be a huge obstacle for this business model ,0
127,first get the basics right that is the blocking and tackling of financial reporting ,the basics need to be right first ,0
128,in a still faintly victorian atmosphere dinard has preserved all the best assets of a good luxury villas and long paved promenades plush hotels elegant boutiques discothyques casino parks and gardens and an olympic size public swimming pool ,dinard maintains a victorian sensibility while also including luxury elements ,0
129,along with each step certain practices proved especially important to the success of their efforts ,no practices were helpful,2
130,but there s something ,there s absolutely nothing in there ,2
131,it s easy to overdose on the many temples palaces and museums in india ,you ll find a scarcity of palaces and temples across india ,2
132,very simply ,not complicatedly ,0
133,yeah they were my favorite team for a while,they had been my favorite team ,0
134,this historically renowned freshwater lake known both as the sea of galilee and lake kinneret meaning a harp after its shape is just 58 km 36 miles in circumference ,the sea of galilee has also been known as lake kinneret for hundreds of years ,1
135,because i i mean i don t know it s just something i think something we need,i think we could do without it but it would change our quality of life greatly ,2
136,jon walked back to the town to the smithy ,jon continued on into the mountains ,2
137,the leland act 1 simplify the household definition,the household definition can be simplified ,0
138,the data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the federal government but not in individual reports of its component units ,individual reports that focus on its component units wouldn t include the data ,0
139,initial demand for land in the new town was not spectacular in fact incentives had to be offered to entice buyers ,at first demand for land in the new town was high and property sold swiftly ,2
140,well they re so close to an undefeated undefeated season they can taste it and they wanna make history so i don t think they re gonna lack for motivation,unless they suffer any losses they ll remain motivated ,1
141,thus the net scale benefit is initially positive whether or not we adjust for the wage premium ,net scale benefits can become negative over time ,1
142,it was utterly mad ,it was perfectly normal ,2
143,saving that did not finance domestic investment would increase net foreign investment and improve the current account balance ,saving could increase net foreign investment substantially and quickly ,1
144,it has long been influenced by their differing traits and has assimilated their various customs and practices ,their different traits have had no impact on any cultures ,2
145,but is the internet so miraculous an advertising vehicle that gross will be able to siphon off 400 per person from total ad spending of 1 000 per family or persuade advertisers to spend an additional 400 to reach each of his customers ,was the internet so great at advertising that gross would pay 400 per person per ad totalling spending 1000 per family or persuade adversisers to shell out an extra 400 to reach each customer ,0
146,the questions may need to be tailored to,there are some questions that may or may not need to be tailored to ,0
147,have you read tom clancy,he personally liked tom clancy ,1
148,that s it the girl looked at him then passed her hand across her forehead ,the girl turned away from him and kept her hands still ,2
149,melatonin,it has ten grams of melatonin ,1
150,diets for men in their prime,a diet for men made up completely of meat ,1
151,yeah it s just a matter of education i think,yeah but education doesn t matter ,2
152,three more days went by in dreary inaction ,the days passed by slowly ,1
153,every august young women convene to light joss sticks and some even climb the nine meter 30 ft rock to pray for good husbands ,women find husbands after climbing the rock and praying ,1
154,it was still night ,the sun hadn t risen yet for the moon was shining daringly in the sky ,0
155,for example if ovitz s five year deal was worth say 100 million and if the compensation committee had added to that a front end grant of free disney shares worth say 50 million then assuming that ovitz finished his five year contract period the cost to disney would be 150 million ,the five year deal will be worth 100 million,1
156,you know we keep a couple hundred dollars um if that much charged on those which isn t too bad it s just your normal,we have some money on there,0
157,as long as assad lives he can manage these troubles and keep an agreement with israel ,as long as assad doesn t die in the hurricane he will still be able to take care of the trouble with the soldiers ,1
158,some experts say there s a greater chance of a making a catch in the cooler days of spring and autumn and in the hours after sunset ,experts say you should never try to make a catch after sunset ,2
159,across the river from the city it has superb views rooms are very contemporary in design ,it has terrible views of the parking lot ,2
160,if not the most beautiful the chateau is certainly the most formidable in the loire valley a real defensive fortress its black ramparts still forbidding despite having had their towers decapitated on the orders of henri iii ,the chateau is certainly the least formidable in all of the loire valley ,2
161,two aromatic aniseed drinks are also produced locally ,the aniseed drinks have a good smell to them ,0
162,in japan mainichi shimbun criticized the new liberal democratic party leader keizo obuchi for being devoid of fresh ideas for reviving the japanese economy ,mainichi shimbun approved of keizo obuchi s efforts toward improving the economy ,2
163,sandstone and granite were the materials used to build the baroque church of bom jesus famous for its casket of st francis xavier s relics in the mausoleum to the right of the altar ,the baroque chuch of bom jesus is a famous church made of sandstone and granite ,0
164,test organisms,trial living plants,1
165,don t take it to heart lad he said kindly ,he was trying to console the lad ,0
166,summary of deferred maintenance as of september 30 199z in millions of dollars ,deferred maintenance in millions of dollars as of september 30 199z ,0
167,the opportunity,opportunities are important to take advantage of ,1
168,uh wasn t that jane eyre no he wrote jane eyre too,was it jane eyre or not ,0
169,i shan t stop you ,i will stop you ,2
170,environmental protection agency,agency which is responsible for the protection of the environment and the maintaining of national parks ,1
171,these gardens used to belong to the governor s mountain lodge but the building was demolished by the japanese during the occupation of hong kong ,these gardens belong to the governor s mountain lodge ,2
172,there is nothing more to be done here i think unless he stared earnestly and long at the dead ashes in the grate ,there isn t anything left to do ,0
173,they are the four sentences you always insert in plagiarized papers to throw the professor off track ,if you put these four sentences into your paper professors will immediately know that it s been plagiarized ,2
174,i think as soon as they get you they ll come for me ,i ll help you get away ,1
175,in short this is a whole new costing area that would need to be undertaken ,in a nutshell this new costing area would need to be undertaken ,0
176,melatonin,it contains melatonin ,1
177,you ll find galleries in all the major towns and in some of the smaller villages ,smaller villages also operate galleries that can be found ,0
178,they found plenty of water pouring down from the mountains and more timber than anyone knew what to do with ,there was no water found pouring down from the mountains ,2
179,on your right is the entrance to the 16th century sandal bedesten with lovely brick vaults supported on massive stone pillars ,we will not be able to show you the entrance to the sandal bedesten because of construction ,2
180,progressives at last are noticing that the best argument for government activism is that it works ,progressives are arguing that government activism does not work whatsoever ,2
181,no one was there no bones at all ,nothing was left from the body ,0
182,while the nipa measure reflects how government saving affects national saving available for investment the unified budget measure is the more common frame of reference for discussing federal fiscal policy issues ,the nipa measure is more reliable than the unified budget measure ,1
183,my body is to me like a crippled rabbit that i don t want to pet that i forget to feed on time that i haven t time to play with and get to know a useless rabbit kept in a cage that it would be cruel to turn loose ,i am anorexic ,1
184,uh but you could fill a whole bunch of uh holes with these things i used to i used to advertise buying wheat pennies um i d give a dollar a roll which two cents a piece which is basically overpriced,i used to try to sell wheat pennies ,2
185,penrith and blencathra are also celtic names established during this early period of settlement ,penrith and blencathra are names which go back to ancient rome ,2
186,if necessary to meeting the restrictions imposed in the preceding sentence the administrator shall reduce pro rata the basic phase ii allowance allocations for each unit subject to the requirements of section 414 ,the administrator shall reduce allowance for each unit ,0
187,as a result their services may be more effective when conducted in the emergency department environment ,their services might be more effective if they re done in the ed ,0
188,evaluation questions ,there are evaluation questions on the topic ,1
189,therefore many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization s business objectives ,finance organization calculated data about every other organization ,1
190,previously at the request of the republican ranking minority member of the house committee on government operations gao reviewed activities of president clintonas task force on health care reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations ,the gao have reviewed the activities of president clinton s task force ,0
191,she in turn was worshipped by her subjects as a living god ,as a result she was revered by her subjects as a living deity one among many ,1
192,the air is warm ,the frigid air caught them all by surprise ,2
193,among the disadvantages are that the degree of innovation and product differentiation might continue to be limited ,limited innovation is not going to be an advantage ,0
194,treat yourself and bill it to si ,spend as much as you like and bill it to si ,1
195,i think that yeah i think and i i think that s real important, i truly believe that that s really important for us to know ,1
196,an important part of u s diplomacy is getting sovereign states to work together voluntarily ,it s not important for states to work together ,2
197,chapter 6 human capital,capital is money not people ,2
198,the rise of the british empire in india had begun ,it started the rise of the german empire in india ,2
199,but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in,these men filed their midterm exams from home ,2
200,sarawak pottery is ochre colored with bold geometric designs ,sarawak pottery has been around for a long time ,1
